31-07-2016 07:15:17:826677 INFO:	SERVER:Staring the server 
31-07-2016 07:15:17:826807 INFO:	SERVER:Fetching data base path 
31-07-2016 07:15:17:826863 DEBUG:	SERVER:Database path found 
31-07-2016 07:15:17:827457 INFO:	SERVER:Client[ ] request for details pulsar 23 
31-07-2016 07:15:17:827492 DEBUG:	SERVER:Getting the instance of database 
31-07-2016 07:15:17:827508 INFO:	SERVER:Get the data for the required vehicle 
31-07-2016 07:15:17:827594 INFO:	SERVER:Fiiling up base class vahan 
31-07-2016 07:15:17:828443 INFO:	SERVER:Pulsar details sent over socket 
31-07-2016 07:15:17:828541 INFO:	SERVER:Server exiting..... 
04-08-2016 11:43:55:767030 INFO:	SERVER:Staring the server 
04-08-2016 11:43:55:896573 INFO:	SERVER:Fetching data base path 
04-08-2016 11:43:55:911504 DEBUG:	SERVER:Database path found 
04-08-2016 11:43:55:957206 INFO:	SERVER:Client[ ] request for details pulsar 23 
04-08-2016 11:43:55:957279 DEBUG:	SERVER:Getting the instance of database 
04-08-2016 11:43:55:957295 INFO:	SERVER:Get the data for the required vehicle 
04-08-2016 11:43:55:957330 INFO:	SERVER:Fiiling up base class vahan 
04-08-2016 11:43:55:959051 INFO:	SERVER:Pulsar details sent over socket 
04-08-2016 11:43:55:959109 INFO:	SERVER:Server exiting..... 
05-08-2016 12:23:52:940480 INFO:	SERVER:Staring the server 
05-08-2016 12:23:52:968573 INFO:	SERVER:Fetching data base path 
05-08-2016 12:23:52:968800 DEBUG:	SERVER:Database path found 
05-08-2016 12:23:52:1589 INFO:	SERVER:Client[ ] request for details pulsar 23 
05-08-2016 12:23:52:1669 DEBUG:	SERVER:Getting the instance of database 
05-08-2016 12:23:52:1694 INFO:	SERVER:Get the data for the required vehicle 
05-08-2016 12:23:52:1744 INFO:	SERVER:Fiiling up base class vahan 
05-08-2016 12:23:53:4990 INFO:	SERVER:Pulsar details sent over socket 
05-08-2016 12:23:53:5080 INFO:	SERVER:Server exiting..... 
05-08-2016 12:26:56:544130 INFO:	SERVER:Staring the server 
05-08-2016 12:26:56:544578 INFO:	SERVER:Fetching data base path 
05-08-2016 12:26:56:544805 DEBUG:	SERVER:Database path found 
05-08-2016 12:26:56:546692 INFO:	SERVER:Client[ ] request for details pulsar 23 
05-08-2016 12:26:56:546818 DEBUG:	SERVER:Getting the instance of database 
05-08-2016 12:26:56:546852 INFO:	SERVER:Get the data for the required vehicle 
05-08-2016 12:26:56:546921 INFO:	SERVER:Fiiling up base class vahan 
05-08-2016 12:26:56:551073 INFO:	SERVER:Pulsar details sent over socket 
05-08-2016 12:26:56:551184 INFO:	SERVER:Server exiting..... 
05-08-2016 12:26:56:551214 INFO:	SERVER:initializing the inotify 
